week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1980-06-30/1980-07-06,23.164285714285715,91.7797619047619,21.694047619047616,77.6,77.6,0,1002.15,937.4017857142857,95.89285714285714,83.26190476190474,52.45238095238095,58.041666666666664,0.24880952380952379,19.980357142857144,242
1980-07-07/1980-07-13,23.684523809523807,90.22619047619047,21.93154761904762,45.9,45.9,0,1005.3470238095239,940.5065476190476,92.60714285714286,78.25,33.113095238095234,66.07142857142857,0.30351190476190476,21.191666666666666,244
1980-07-14/1980-07-20,23.844642857142855,87.65476190476191,21.586309523809522,27.6,27.6,0,1008.0648809523809,943.0749999999999,92.625,70.625,26.095238095238095,91.02380952380953,0.38809523809523805,20.285714285714285,243
1980-07-21/1980-07-27,22.938690476190477,91.94047619047618,21.50357142857143,63.7,63.7,0,1005.0488095238096,940.0690476190476,92.66666666666666,78.54166666666667,49.61904761904763,77.17857142857143,0.24255952380952378,18.16547619047619,247
1980-07-28/1980-08-03,22.480952380952377,93.06547619047619,21.260119047619046,117.8,117.8,0,1005.6636904761905,940.5464285714286,98.33928571428571,80.01190476190477,59.95833333333333,87.72619047619048,0.20113095238095235,18.58809523809524,239
1980-08-04/1980-08-10,22.114285714285717,94.61309523809523,21.185714285714287,109.0,109.0,0,1007.9732142857143,942.6255952380952,98.7202380952381,82.03571428571429,71.30952380952381,72.90476190476191,0.14940476190476187,20.35178571428571,252
1980-08-11/1980-08-17,23.64107142857143,88.98214285714286,21.616666666666667,22.4,22.4,0,1006.3511904761905,941.4375,92.08333333333334,71.75595238095238,23.98809523809524,80.57738095238095,0.35214285714285715,12.336904761904762,229
1980-08-18/1980-08-24,22.785714285714285,92.81547619047618,21.500595238095237,79.2,79.2,0,1006.5244047619046,941.4119047619048,97.3452380952381,74.79761904761905,65.52380952380952,88.82738095238095,0.21720238095238092,10.794642857142858,230
1980-08-25/1980-08-31,22.401785714285715,91.8452380952381,20.96190476190476,40.0,40.0,0,1008.1011904761905,942.8119047619048,96.5952380952381,78.76785714285714,41.410714285714285,72.21428571428571,0.23416666666666663,18.530357142857145,226
1980-09-01/1980-09-07,22.791071428571428,89.55357142857143,20.90654761904762,34.3,34.3,0,1008.8619047619048,943.6011904761905,84.41071428571429,69.21428571428571,21.446428571428573,49.99404761904761,0.3110119047619047,16.011904761904763,257
