date,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
2000-01-09,19.45,51.208333333333336,7.883333333333333,0.0,0.0,0,1012.3416666666667,946.1208333333334,0.0,0.0,0.0,0.0,1.3279166666666666,6.045833333333333,77
2000-01-10,20.962500000000002,58.083333333333336,11.558333333333332,0.0,0.0,0,1011.5958333333333,945.7458333333334,0.0,0.0,0.0,0.0,1.2345833333333334,5.75,79
2000-01-11,22.02916666666667,58.083333333333336,12.450000000000001,0.0,0.0,0,1011.4,945.7958333333332,8.416666666666666,0.0,14.0,0.0,1.3229166666666667,7.520833333333333,252
2000-01-12,20.545833333333334,63.166666666666664,12.458333333333334,0.0,0.0,0,1012.3958333333334,946.4166666666666,5.541666666666667,1.9583333333333333,6.333333333333333,0.0,1.0341666666666667,6.579166666666667,257
2000-01-13,20.295833333333334,56.166666666666664,9.833333333333334,0.0,0.0,0,1012.4333333333334,946.3874999999999,0.0,0.0,0.0,0.0,1.2445833333333334,5.6499999999999995,81
2000-01-14,19.858333333333334,53.541666666666664,9.070833333333333,0.0,0.0,0,1011.4875000000001,945.4083333333333,0.0,0.0,0.0,0.0,1.2708333333333333,6.904166666666666,315
2000-01-15,18.583333333333332,42.875,4.808333333333333,0.0,0.0,0,1012.5124999999999,946.0875,0.0,0.0,0.0,0.0,1.3616666666666666,7.308333333333334,4
2000-01-16,19.625,50.375,8.6,0.0,0.0,0,1013.8625000000001,947.5791666666668,0.16666666666666666,0.0,0.25,0.0,1.2283333333333333,13.095833333333333,92
2000-01-17,21.6125,61.958333333333336,13.808333333333332,0.0,0.0,0,1015.7291666666666,949.7583333333333,7.708333333333333,2.0416666666666665,9.75,0.0,1.0516666666666665,13.166666666666666,83
2000-01-18,22.766666666666666,63.208333333333336,14.775,0.0,0.0,0,1016.7958333333332,951.0,6.541666666666667,3.0833333333333335,5.916666666666667,0.625,1.1754166666666668,8.791666666666666,68
2000-01-19,22.829166666666666,52.041666666666664,11.35,0.0,0.0,0,1015.4208333333332,949.7291666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.0,1.5199999999999998,6.520833333333333,322
2000-01-20,21.46666666666667,50.666666666666664,9.700000000000001,0.0,0.0,0,1012.7708333333334,946.9625,0.0,0.0,0.0,0.0,1.45375,6.229166666666667,218
2000-01-21,20.004166666666666,53.875,8.5375,0.0,0.0,0,1013.4875000000001,947.3291666666668,0.0,0.0,0.0,0.0,1.3275,8.216666666666667,267
2000-01-22,19.9375,54.875,9.520833333333334,0.0,0.0,0,1014.3625000000001,948.1166666666667,0.0,0.0,0.0,0.0,1.2275,7.1625000000000005,283
2000-01-23,19.683333333333334,58.375,10.5,0.0,0.0,0,1014.9125,948.5791666666668,0.0,0.0,0.0,0.0,1.1045833333333335,5.554166666666667,51
2000-01-24,20.1375,51.291666666666664,8.725,0.0,0.0,0,1015.5124999999999,949.2291666666666,0.0,0.0,0.0,0.0,1.3216666666666665,8.666666666666666,76
2000-01-25,20.591666666666665,52.458333333333336,9.383333333333333,0.0,0.0,0,1015.6541666666667,949.4666666666667,0.0,0.0,0.0,0.0,1.3641666666666667,7.020833333333333,74
2000-01-26,21.041666666666668,50.75,9.233333333333333,0.0,0.0,0,1015.4416666666666,949.3541666666666,0.0,0.0,0.0,0.0,1.4420833333333334,7.429166666666667,8
2000-01-27,21.366666666666664,51.75,10.433333333333334,0.0,0.0,0,1015.0458333333332,949.0666666666666,13.041666666666666,0.041666666666666664,21.625,0.0,1.3658333333333335,7.858333333333333,72
2000-01-28,21.158333333333335,49.875,9.954166666666667,0.0,0.0,0,1016.4458333333333,950.3416666666667,0.125,0.041666666666666664,0.08333333333333333,0.0,1.3462500000000002,12.450000000000001,73
